identifier,name,symbol,type,coingecko,cryptocompare,started
1CR,1 credit,1CR,own_chain,,,1398556800
2GIVE,2GIVE,2GIVE,own_chain,2give,,1460937600
ABBC,ABBC Coin,ABBC,own_chain,alibabacoin,,1520208000
ABY,ArtByte,ABY,own_chain,artbyte,,1398902400
AC,AsiaCoin,AC,own_chain,affil-coin,,1397952000
ACC,AdCoin,ACC,own_chain,,,1500336000
ADA,Cardano,ADA,own_chain,cardano,,1506643200
ADADOWN,Binance leveraged token ADADOWN,ADADOWN,own_chain,,,1594771200
ADAUP,Binance leveraged token ADAUP,ADAUP,own_chain,,,1594771200
ADK,Aidos Kuneen,ADK,own_chain,aidos-kuneen,,1537401600
ADN,Aiden,ADN,own_chain,aladdin,,1397520000
AE,Aeternity,AE,own_chain,aeternity,,1482969600
AEON,Aeon,AEON,own_chain,aeon,,1402012800
AM,AeroME,AM,own_chain,,,1420934400
AERO,Aerocoin,AERO,own_chain,,,1403395200
AION,Aion,AION,own_chain,aion,,1506556800
AIR-2,Air coin,AIR,own_chain,,AIR*,1395273600
AKT,Akash Network,AKT,own_chain,akash-network,akt,1601042400
ALGO,Algorand,ALGO,own_chain,algorand,,1560902400
ALQO,ALQO,ALQO,own_chain,alqo,XLQ,1509321600
ANK,AlphaLink,ANK,tron_token,alphalink,,1599004800
ANY,Anyswap,ANY,own_chain,anyswap,,1598400000
APH,Aphelion,APH,neo_token,,,1510693460
APX,APX,APX,ubiq_token,appics,,1492646400
AR,Arweave,AR,own_chain,arweave,,1590545046
ARB-2,ARbit,ARB,own_chain,arbit,ARB,1431043200
ARC,Advanced Technology Coin,ARC,own_chain,arcticcoin,,1406160000
ARCH,Archcoin,ARCH,own_chain,,,1412553600
ARDR,Ardor,ARDR,own_chain,ardor,,1469284805
ARK,Ark,ARK,own_chain,ark,,1476489600
ASR,AS Roma Fan Token,ASR,own_chain,as-roma-fan-token,,1592784000
ATOM,Cosmos,ATOM,own_chain,cosmos,,1552596249
ATX-2,Artex Coin,ATX,own_chain,artex-coin,ATX,1470096000
AUD,Australian Dollar,AUD,fiat,,,
NZD,New Zealand Dollar,NZD,fiat,,,
AUR,Auroracoin,AUR,own_chain,auroracoin,,1393479207
AVA,Travala.com,AVA,neo_token,concierge-io,AVALA,1527536681
AVAX,Avalanche,AVAX,own_chain,avalanche-2,,1600646400
BAN,Avalanche,BAN,own_chain,banano,,1538352000
BAY,BitBay,BAY,own_chain,bitbay,,1415318400
BBK-2,Bitblocks,BBK,own_chain,bitblocks-project,BBK,1517788800
BBR,Boolberry,BBR,own_chain,boolberry,,1400284800
BCD,Bitcoin Diamond,BCD,own_chain,bitcoin-diamond,,1511481600
BCH,Bitcoin Cash,BCH,own_chain,bitcoin-cash,,1501593374
BCN,Bytecoin,BCN,own_chain,bytecoin,,1341360000
BCY,BitCrystals,BCY,counterparty_token,bitcrystals,,1433203200
BEAM,Beam,BEAM,own_chain,beam,,1521072000
BET-2,BetaCoin,BET,own_chain,,BET,1382572800
BIDR,Binance IDR Stable Coin,BIDR,binance_token,binanceidr,,1593475200
BITB,Bean Cash,BITB,own_chain,bitcoin-bull,BEAN,1423785600
BITCNY,bitCNY,BITCNY,bitshares_token,bitcny,,1411446262
BITS,Bitstar,BITS,own_chain,bitstar,,1397692800
BITS-2,Bitswift,BITS,ardor_token,bitswift,BITSW,1411948800
BITUSD,bitUSD,BITUSD,bitshares_token,,,1411446262
BKRW,Binance KRW,BKRW,binance_token,binance-krw,,1580947200
BLK,BlackCoin,BLK,own_chain,blackcoin,,1393200000
BLOC-2,BLOC.MONEY,BLOC,own_chain,bloc-money,BLOCM,1539736469
BLOCK,Blocknet,BLOCK,own_chain,blocknet,,1413763200
BLU,BlueCoin,BLU,own_chain,bluecoin,,1398124800
BNBDOWN,Binance leveraged token BNBDOWN,BNBDOWN,own_chain,,,1596585600
BNBUP,Binance leveraged token BNBUP,BNBUP,own_chain,,,1596585600
BOST,BoostCoin,BOST,own_chain,bostte,,1400112000
BRK,Breakout,BRK,own_chain,,,1425513600
BRL,Brazilian Real,BRL,fiat,,,
BRX,Breakout Stake,BRX,own_chain,,,1465776000
BSD,BitSend,BSD,own_chain,bitsend,,1402099200
BSV,Bitcoin Satoshi's Vision,BSV,own_chain,bitcoin-cash-sv,,1542300000
BTC,Bitcoin,BTC,own_chain,bitcoin,,1231006505
BTCD,BitcoinDark,BTCD,own_chain,,,1405468800
BTCDOWN,Binance leveraged token BTCDOWN,BTCDOWN,own_chain,,,1595367054
BTCS,Bitcoin Scrypt,BTCS,own_chain,bitcoin-silver,,1378598400
BTCUP,Binance leveraged token BTCUP,BTCUP,own_chain,,,1595367054
BTG,Bitcoin Gold,BTG,own_chain,bitcoin-gold,,1508716800
BTG-2,Bitgem,BTG,own_chain,bitgem,,1368403200
BTM,Bitmark,BTM,own_chain,bitmark,BTMK,1408449563
BTM-2,Bytom,BTM,own_chain,bytom,BTM,1497916800
BTS,BitShares,BTS,own_chain,bitshares,,1405728000
BTT,BitTorrent,BTT,tron_token,bittorrent,,1548633600
BTXCRD,Bittrex Credits,BTXCRD,own_chain,,,1571616000
BURST,Burst,BURST,own_chain,signum,SIGNA,1402531200
BVND,Binance VND,BVND,binance_token,binance-vnd,,1608508800
BYC,Bytecent,BYC,own_chain,bytecent,,1414800000
C2,Coin2.1,C2,own_chain,,,1399334400
CACH,CacheCoin,CACH,own_chain,cachecoin,,1388880000
CAD,Canadian Dollar,CAD,fiat,,,
CAIX,Caishen,CAIX,own_chain,,,1397520000
CANN,CannabisCoin,CANN,own_chain,cannabiscoin,,1399334400
CBC-2,Cashbery Coin,CBC,own_chain,cashbery-coin,,1534976069
CCN-2,CannaCoin,CCN,own_chain,,CCN,1390348800
CELO,Celo,CELO,own_chain,celo,,1590115455
CUSD,Celo USD,CUSD,own_chain,celo-dollar,CELOUSD,1601337600
CGA,Cryptographic Anomaly,CGA,own_chain,,,1392940800
CGLD,Celo Gold,CGLD,own_chain,,,1590115455
CHAT,ChatCoin,CHAT,own_chain,chatcoin,,1489449600
CHF,Swiss Franc,CHF,fiat,,,
CINNI,Cinnicoin,CINNI,own_chain,,,1398211200
CKB,Nervos Network,CKB,own_chain,nervos-network,,1562112000
CLAM,Clams,CLAM,own_chain,clams,,1399852800
CLOAK,CloakCoin,CLOAK,own_chain,cloakcoin,,1399161600
CMT,CyberMiles,CMT,own_chain,cybermiles,,1509494400
CMT-2,Comet,CMT,own_chain,,CMTC,1463529600
CNL,ConcealCoin,CNL,own_chain,,,1405900800
CNMT,Coinomat,CNMT,nxt_token,,,1409875200
CNS,Centric,CNS,tron_token,centric-cash,,1595980800
CNY,Chinese Yuan,CNY,fiat,,,
COMM,CommunityCoin,COMM,own_chain,,,1397520000
CORN,Corn,CORN,tron_token,corn,,1599264000
COS,Contentos,COS,binance_token,contentos,CONT,1561074552
COTI,COTI,COTI,own_chain,coti,,1518393600
COVAL,Circuits of Value,COVAL,counterparty_token,circuits-of-value,,1415923200
CPC-2,Capricoin,CPC,own_chain,capricoin,CPC,1437350400
CRC-2,CrowdCoin,CRC,own_chain,,CRC,1509580800
CRT,Carrot finance,CRT,tron_token,carr-finance,,1600041600
CRW,Crown,CRW,own_chain,crown,,1413244800
CRYPT,CryptCoin,CRYPT,own_chain,cryptcoin,,1401062400
CTK,Certik,CTK,own_chain,certik,,1603756800
CTX,Centauri,CTX,own_chain,centauri-coin,,1547682877
CURE,Curecoin,CURE,own_chain,curecoin,,1398988800
CYC,ConspiracyCoin,CYC,own_chain,,,1404518400
DASH,Dash,DASH,own_chain,dash,,1390095618
DCR,Decred,DCR,own_chain,decred,,1450137600
DCT,DECENT,DCT,own_chain,decent,,1467244800
DFI,DeFiChain,DFI,own_chain,defichain,,1593561600
DGB,DigiByte,DGB,own_chain,digibyte,,1389312000
DIEM,CarpeDiemCoin,DIEM,own_chain,,,1398643200
DIME,Dimecoin,DIME,own_chain,dimecoin,,1387756800
DIVI,Divi Exchange Token,DIVI,own_chain,divi,DIVX,1549065600
DMD,Diamond,DMD,own_chain,diamond,,1373673600
DOGE,Dogecoin,DOGE,own_chain,dogecoin,,1386325540
DOPE,DopeCoin,DOPE,own_chain,dopecoin,,1390262400
DOT,Polkadot,DOT,own_chain,polkadot,,1590451200
DOTDOWN,Binance leveraged token DOTDOWN,DOTDOWN,own_chain,,,1599696000
DOTUP,Binance leveraged token DOTUP,DOTUP,own_chain,,,1599696000
DRKC,DarkCash,DRKC,own_chain,,,1406592000
DRM,Dreamcoin,DRM,own_chain,dreamcoin,,1399420800
DSH,Dashcoin,DSH,own_chain,,,1404518400
DTB,Databits,DTB,counterparty_token,,,1484784000
DYN,Dynamic,DYN,own_chain,dynamic,,1490547284
EAC,EarthCoin,EAC,own_chain,earthcoin,,1387497600
EBST,eBoost,EBST,own_chain,eboost,,1475107200
ECC,ECCoin,ECC,own_chain,ecc,,1395292195
EDG-2,Edgeware,EDG,own_chain,edgeware,edgew,1581897600
EDR-2,E-Dinar Coin,EDR,own_chain,,,1472226274
EFL,e-Gulden,EFL,own_chain,electronicgulden,,1395187200
EGC,EverGreenCoin,EGC,own_chain,evergreencoin,,1448928000
EGLD,Elrond,EGLD,own_chain,elrond-erd-2,,1599004800
ELA,Elastos,ELA,own_chain,elastos,,1518134400
EMC,Emercoin,EMC,own_chain,emercoin,,1386460800
EMC2,Einsteinium,EMC2,own_chain,einsteinium,,1388707200
SCRT,Secret,SCRT,own_chain,secret,,1601510400
ENRG,Energycoin,ENRG,own_chain,energycoin,,1398729600
EOS,EOS.io,EOS,own_chain,eos,,1494028800
EOSDOWN,Binance leveraged token EOSDOWN,EOSDOWN,own_chain,,,1599782400
EOSUP,Binance leveraged token EOSUP,EOSUP,own_chain,,,1599782400
ERD,Elrond,ERD,binance_token,elrond-erd,,1552694400
ETC,Ethereum classic,ETC,own_chain,ethereum-classic,,1469020840
ETH,Ethereum,ETH,own_chain,ethereum,,1438214400
ETH2,Staked ETH in Phase 0,ETH,own_chain,ethereum,ETH,1602667372
ETHDOWN,Binance leveraged token ETHDOWN,ETHDOWN,own_chain,ethdown,,1594771200
ETHUP,Binance leveraged token ETHUP,ETHUP,own_chain,ethup,,1594771200
EUR,Euro,EUR,fiat,,,915148800
EXCL,ExclusiveCoin,EXCL,own_chain,exclusivecoin,,1412063661
EXE,Execoin,EXE,own_chain,8x8-protocol,,1394409600
EXP,Expanse,EXP,own_chain,expanse,,1442188800
FAIR,FairCoin,FAIR,own_chain,faircoin,,1393286400
FCN,Fantomcoin,FCN,own_chain,freelancerchain,,1401926400
FCT,Factom,FCT,own_chain,firmachain,,1444003200
FIBRE,Fibrecoin,FIBRE,own_chain,,,1409356800
FIL,Filecoin,FIL,own_chain,filecoin,,1602773100
FILDOWN,Binance leveraged token FILDOWN,FILDOWN,own_chain,,,1603152000
FILUP,Binance leveraged token FILUP,FILUP,own_chain,,,1603152000
FIO,FIO Protocol,FIO,own_chain,fio-protocol,,1585094400
FIRO,Firo,FIRO,own_chain,zcoin,,1576368000
FLAP,FlappyCoin,FLAP,own_chain,,,1393027200
FLDC,FoldingCoin,FLDC,counterparty_token,foldingcoin,,1405296000
FLM,Flamingo finance,FLM,neo_token,flamingo-finance,,1601251200
FLO,FLO,FLO,own_chain,public-index-network,,1371427200
FLOW,Flow,FLOW,own_chain,flow,,1611619200
FLT,FlutterCoin,FLT,own_chain,fluttercoin,,1393804800
FRAC,Fractalcoin,FRAC,own_chain,,,1402790400
FRK,Franko,FRK,own_chain,,,1367366400
FTC,Feathercoin,FTC,own_chain,feathercoin,,1366070400
FUND,Unification,FUND,own_chain,unification,UNIFUND,1592611200
GAME,GameCredits,GAME,own_chain,gamecredits,,1392739140
GAP,Gapcoin,GAP,own_chain,gapcoin,,1413849600
GAS,Gas,GAS,neo_token,gas,,1468540800
GBG,Golos Gold,GBG,own_chain,,,1476748800
GBP,Great British Pound,GBP,fiat,,,
GBX,GoByte,GBX,own_chain,gobyte,,1510790400
GBYTE,Obyte,GBYTE,own_chain,byteball,,1482624000
GEMZ,GetGems,GEMZ,counterparty_token,,,1421020800
GEO,GeoCoin,GEO,ubiq_token,geodb,,1421650800
GLC,GoldCoin,GLC,own_chain,goldcoin,GLD,1368230400
GLC-2,GlobalCoin,GLC,own_chain,globalcoin,GLC,1372204800
GML,GameLeagueCoin,GML,own_chain,,,1404489600
GNC,Galaxy network,GNC,own_chain,galaxy-network,,1602979200
GO,GoChain,GO,own_chain,gochain,GO,1526428800
GOLOS,Golos,GOLOS,own_chain,golos,,1474502400
GPUC,GPU coin,GPUC,own_chain,gpu-coin,GPU,1395100800
GRC,GridCoin,GRC,own_chain,gridcoin-research,,1381881600
GRIN,Grin,GRIN,own_chain,grin,,1547683200
GRS,Groestlcoin,GRS,own_chain,groestlcoin,,1395446400
GST,GSTCoin,GST,own_chain,gstcoin,GSTC,1571356800
GUE,Guerillacoin,GUE,own_chain,,,1403481600
GXC,GXChain,GXC,own_chain,gxchain,GXS,1488585600
HAI,Hacken token,HAI,vechain_token,hackenai,HKN,1588118400
HBAR,Hedera Hashgraph,HBAR,own_chain,hedera-hashgraph,,1568711652
HBD,Hive dollar,HBD,own_chain,hive_dollar,,1585267200
HC,HyperCash,HC,own_chain,hshare,,1503240899
HC-2,Harvest Masternode Coin,HC,own_chain,,HMN,1515974400
HDAC,Hdac,HDAC,own_chain,hdac,,1533150567
HIVE,Hive,HIVE,own_chain,hive,,1584662400
HMC-2,HarmonyCoin,HMC,own_chain,harmonycoin,HMC*,1500921003
HNS,Handshake ,HNS,own_chain,handshake,,1582326254
HNT,Helium,HNT,own_chain,helium,,1587168000
HUC,HunterCoin,HUC,own_chain,,,1391212800
HUGE,BIGcoin,HUGE,own_chain,,,1429830000
HVC,Heavycoin,HVC,own_chain,,,1394582400
HYC,HYCON,HYC,own_chain,hycon,,1519862400
HYP,HyperStake,HYP,own_chain,hyperstake,,1404604800
HZ,Horizon,HZ,own_chain,,,1402531200
ICX,ICON,ICX,own_chain,icon,,1508803200
IFC,Infinitecoin,IFC,own_chain,infinitecoin,,1370390400
IGNIS,Ignis,IGNIS,ardor_token,ignis,,1501891200
INCNT,Incent,INCNT,waves_token,incent,,1473120000
IOC,I/O Coin,IOC,own_chain,iocoin,,1406073600
ION,ION,ION,own_chain,ion,,1458432000
IOP,Internet of People,IOP,own_chain,internet-of-people,,1480418674
IOTA,IOTA,IOTA,own_chain,iota,MIOTA,1497364209
IQ,Everipedia,IQ,eos_token,everipedia,,1531512255
IQ-2,IQ.cash,IQ,own_chain,iq-cash,IQC,1536789557
IRIS,IRISnet,IRIS,own_chain,iris-network,,1527724800
IXC,Ixcoin,IXC,own_chain,ixcoin,,1312934400
JFI,JackPool.finance,JFI,tron_token,jackpool-finance,,1599264000
JPY,Japanese Yen,JPY,fiat,,,
JST,JUST,JST,tron_token,just,,1588862054
JUV,Juventus Fan Token,JUV,own_chain,juventus-fan-token,,1587081600
KAVA,Kava,KAVA,own_chain,kava,,1571980454
KDA,Kadena,KDA,own_chain,kadena,,1590931743
KDC,KlondikeCoin,KDC,own_chain,,,1389225600
KEY-3,KeyCoin,KEY,own_chain,,KEYC,1405382400
KFEE,Kraken fees,KFEE,own_chain,,,1377993600
KLAY,Klaytn,KLAY,own_chain,klay-token,,1570838400
KLV,Klever,KLV,tron_token,klever,,1598400000
KMD,Komodo,KMD,own_chain,komodo,,1472688000
KORE,Kore,KORE,own_chain,kore,,1402790400
KRT,TerraKRW,KRT,own_chain,terra-krw,,1563494400
KRW,Korean won,KRW,fiat,,,
KSM,Kusama,KSM,own_chain,kusama,,1576142353
LBC,LBRY Credits,LBC,own_chain,lbry-credits,,1467763200
LEAF,LeafCoin,LEAF,own_chain,leafcoin,,1389398400
LINKDOWN,Binance leveraged token LINKDOWN,LINKDOWN,own_chain,,,1594771200
LINKUP,Binance leveraged token LINKUP,LINKUP,own_chain,,,1594771200
LMC,LoMoCoin,LMC,own_chain,,,1460937600
LOKI,Loki,LOKI,own_chain,loki-network,,1519516800
LSK,Lisk,LSK,own_chain,lisk,,1454284800
LTBC,LTBcoin,LTBC,counterparty_token,,,1406419200
LTC,Litecoin,LTC,own_chain,litecoin,,1317972665
LTCDOWN,Binance leveraged token LTCDOWN,LTCDOWN,own_chain,,,1600214400
LTCUP,Binance leveraged token LTCUP,LTCUP,own_chain,,,1600214400
LTCX,LitecoinX,LTCX,own_chain,,,1401494400
LUCY,LUCY,LUCY,own_chain,lucy,,1584393554
LUNA-2,Terra Luna Classic,LUNC,own_chain,terra-luna,LUNC,1564103351
MAID,MaidSafeCoin,MAID,omni_token,maidsafecoin,,1398655286
MARO,Maro,MARO,own_chain,ttc-protocol,,1534377600
MAX,Maxcoin,MAX,own_chain,max-token,,1391644800
MAZA,MazaCoin,MAZA,own_chain,maza,MZC,1393200000
MCN,Monetaverde,MCN,own_chain,moneta-verde,MNV,1402963200
ME,All.me,ME,own_chain,all-me,,1514332800
MEC,Megacoin,MEC,own_chain,megacoin,,1369785600
MED,MediBloc,MED,qtum_token,medibloc,MEDIB,1508284800
MEME,Memetic / PepeCoin,MEME,own_chain,memetic,,1425513600
MER,Mercury,MER,waves_token,mercury,,1489536000
META,Metadium,META,own_chain,metadium,,1534896000
MIN,Minerals coin,MIN,own_chain,mindol,,1401926400
MINT,MintCoin,MINT,own_chain,mintcoin,,1391644800
MMC,Memorycoin,MMC,own_chain,,,1387065600
MMNXT,MMNXT,MMNXT,own_chain,,,1413936000
MMXIV,Maieuticoin,MMXIV,own_chain,,,1400889600
MOB,MobileCoin,MOB,own_chain,mobilecoin,MOB,1607212800
MOBI,Mobius,MOBI,stellar_token,mobius,,1501632000
MONA,MonaCoin,MONA,own_chain,monacoin,,1388534400
MUE,MonetaryUnit,MUE,own_chain,monetaryunit,,1406332800
MUSIC,Musicoin,MUSIC,own_chain,,,1486944000
MWC,MimbleWimbleCoin,MWC,own_chain,mimblewimblecoin,,1574121600
NANO,Nano,XNO,own_chain,nano,,1444003200
NAS,Nebulas,NAS,own_chain,nebulas,,1503462598
NAUT,Nautilus coin,NAUT,nxt_token,,,1400112000
NAV,NavCoin,NAV,own_chain,nav-coin,,1402012800
NBS,New Bitshare,NBS,own_chain,new-bitshares,,1600473600
NEAR,Near,NEAR,own_chain,near,,1602633600
NEBL,Neblio,NEBL,own_chain,neblio,,1485907200
NEO,NEO,NEO,own_chain,neo,,1473379200
NEOS,NeosCoin,NEOS,own_chain,,,1408838400
NIM,Nimiq,NIM,own_chain,nimiq-2,,1496707200
NKN,New Kind of Network,NKN,neo_token,nkn,,1524182400
NLC2,NoLimitCoin,NLC2,own_chain,nolimitcoin,,1473704375
NLG,Munt,MUNT,own_chain,gulden,,1396396800
NMC,Namecoin,NMC,own_chain,namecoin,,1303007201
NOAHP,Noah Platinum,NOAHP,own_chain,noah-coin,NOAH,1569888000
NOBL,NobleCoin,NOBL,own_chain,noblecoin,,1389052800
NOK,Norwegian krone,NOK,fiat,,,
NOTE,DNotes,NOTE,own_chain,dnotes,,1392508800
NRS,Noir shares,NRS,own_chain,,,1397952000
NSR,NuShares,NSR,nubits_token,nushares,,1411430400
NXS,Nexus,NXS,own_chain,nexus,,1403136000
NXT,Nxt,NXT,own_chain,nxt,,1385251200
NXTI,NXTInspect,NXTI,nxt_token,,,1412812800
OCC,Octoin Coin,OCC,own_chain,,OCC,1520894060
OG,OG Fan Token,OG,own_chain,og-fan-token,,1592784000
OK,OKCash,OK,own_chain,okcash,,1416787200
OMNI,Omni,OMNI,own_chain,omni,,1375228800
ONE-2,Harmony,ONE,own_chain,harmony,ONE,1537093791
ONG,Ontology Gas,ONG,ontology_token,ong,ONGAS,1530316800
ONT,Ontology,ONT,own_chain,ontology,,1519603200
OPAL,Opal,OPAL,own_chain,opal,,1410480000
PAI,Project Pai,PAI,own_chain,project-pai,PPAI,1509408000
PART,Particl,PART,own_chain,particl,,1490054400
PASC,Pascal Coin,PASC,own_chain,pascalcoin,,1470873600
PEARL,Pearl Finance,PEARL,tron_token,pearl-finance,,1599004800
PHB,Red Pulse Phoenix Binance,PHB,binance_token,red-pulse,PHX,1558497600
PHX,Red Pulse Phoenix,PHX,neo_token,red-pulse,,1507420800
PIGGY,Piggycoin,PIGGY,own_chain,,,1433894400
PINK,PinkCoin,PINK,own_chain,pinkcoin,,1398988800
PIRL,Pirl,PIRL,own_chain,pirl,,1503619200
PIVX,PIVX,PIVX,own_chain,pivx,,1448409600
PLA,Plair,PLA,vechain_token,plair,PLAI,1527206400
POA,POA Network,POA,own_chain,poa-network,,1500508800
POP,PopularCoin,POP,own_chain,popularcoin,,1390867200
POT,PotCoin,POT,own_chain,potcoin,,1390262400
PPC,Peercoin,PPC,own_chain,philips-pay-coin,,1345334400
PRC,ProsperCoin,PRC,own_chain,partner,,1390953600
PSG,Paris Saint-Germain Fan Token,PSG,own_chain,paris-saint-germain-fan-token,,1592006400
PTC,Pesetacoin,PTC,own_chain,propertycoin,,1389052800
Q2C,QubitCoin,Q2C,own_chain,,,1389484800
QBK,Qibuck Asset,QBK,burst_token,,,1407628800
QCN,QuazarCoin,QCN,own_chain,,,1399507200
QLC,QLC Chain,QLC,neo_token,qlink,,1510444800
QORA,Qora,QORA,own_chain,,,1395187200
QTL,Quatloo,QTL,own_chain,,,1403827200
QWARK,Qwark,QWARK,ubiq_token,,,1460937600
RADS,Validity,VAL,own_chain,radium,RADS,1453075200
RBY,Rubycoin,RBY,own_chain,rubycoin,,1393200000
RCN-2,Rcoin,RCN,own_chain,rcoinchain,RCOIN,1472688000
RDD,ReddCoin,RDD,own_chain,reddcoin,,1390176000
RIC,Riecoin,RIC,own_chain,riecoin,,1392076800
RISE,Rise,RISE,own_chain,rise,,1466726400
RUB,Russian Ruble,RUB,fiat,,,
RUNE,THORChain,RUNE,own_chain,thorchain,,1563914649
RVC,Ravencoin Classic,RVC,own_chain,ravencoin-classic,,1591747200
RVN,Ravencoin,RVN,own_chain,ravencoin,,1514937600
RVR,RevolutionVR,RVR,own_chain,,,1446508800
RZR,RazorCoin,RZR,own_chain,,,1403308800
SAL,Salmon,SAL,tron_token,salmon,SALMON,1599177600
SBD,Steem Dollars,SBD,own_chain,steem-dollars,,1464998400
SC,Siacoin,SC,own_chain,siacoin,,1426550400
SDC,ShadowCash,SDC,own_chain,,,1403049600
SDT,Terra SDT,SDT,own_chain,terra-sdt,,1569456000
SEQ,Sequence,SEQ,own_chain,sequence,,1474754073
SHIFT,Shift,SHIFT,own_chain,shift,,1441460968
SIB,SIBCoin,SIB,own_chain,sibcoin,,1431129600
SILK,SilkCoin,SILK,own_chain,silkchain,,1399766400
SIX,SIX,SIX,stellar_token,six-network,,1522368000
SJCX,Storjcoin X,SJCX,counterparty_token,storj,,1405641600
SKY,Skycoin,SKY,own_chain,skycoin,,1387670400
SLR,SolarCoin,SLR,own_chain,solarcoin,,1389484800
SLS,SaluS,SLS,own_chain,salus,,1452038400
SLT,Smartlands,SLT,stellar_token,smartlands,SLST,1504742400
SMART,SmartCash,SMART,own_chain,smartcash,,1499731200
SMC,SmartCoin,SMC,own_chain,smartcoin,,1388966400
SOL-2,Solana,SOL,own_chain,solana,SOL,1586494758
SOUL,Phantasma,SOUL,neo_token,phantasma,,1527536682
SPA,SpainCoin,SPA,own_chain,,SPAIN,1394668800
SPC,SpaceChain,SPC,qtum_token,spacechain-erc-20,APCC,1516147466
SPD-2,Stipend,SPD,own_chain,stipend,SPD,1522170861
SPHR,Sphere,SPHR,own_chain,sphere,,1430581765
SQL,Squallcoin,SQL,own_chain,,,1409356800
SSD,Sonic,SSD,own_chain,,,1407542400
STEEM,Steem,STEEM,own_chain,steem,,1458777600
STRAT,Stratis,STRAT,own_chain,stratis,,1465862400
STX-2,Blockstack,STX,own_chain,blockstack,STX,1572048000
SUN,Sun Token,SUN,tron_token,sun-token,,1599696000
SWARM,SwarmCoin,SWARM,own_chain,,,1403568000
SXC,Sexcoin,SXC,own_chain,sxc,,1369699200
SYNC,SyncCoin,SYNC,own_chain,sync,,1400371200
SYNX,Syndicate,SYNX,own_chain,syndicate,,1465862400
SYS,Syscoin,SYS,own_chain,syscoin,,1398556800
TAI,tBridge Token,TAI,tron_token,tai,,1599004800
TFUEL,Theta Fuel,TFUEL,own_chain,theta-fuel,,1542931200
THC,HempCoin,THC,own_chain,hempcoin-thc,,1394323200
TKS,Tokes,TKS,waves_token,tokes,TKS,1480723200
TOR,Torcoin,TOR,own_chain,torex,,1404432000
TRIG,Triggers,TRIG,counterparty_token,,,1476057600
TROY,Troy,TROY,own_chain,troy,,1571097600
TRUST,TrustPlus,TRUST,own_chain,trustdao,,1403308800
TRXDOWN,Binance leveraged token TRXDOWN,TRXDOWN,own_chain,,,1599696000
TRXUP,Binance leveraged token TRXUP,TRXUP,own_chain,,,1599696000
TRY,Turkish Lyra,TRY,fiat,trias,,
TUBE,BitTube,TUBE,own_chain,bittube,,1517356800
TX,TransferCoin,TX,own_chain,transfercoin,,1439251200
UBQ,Ubiq,UBQ,own_chain,ubiq,,1410125962
UIS,Unitus,UIS,own_chain,unitus,,1419120000
ULTC,Umbrella-LTC,ULTC,own_chain,,,1405123200
UNITY,SuperNET,UNITY,nxt_token,,,1409356800
URO,Uro,URO,own_chain,,,1399593600
USD,United States Dollar,USD,fiat,,,
USDE,USDe,USDE,own_chain,,,1389484800
USDJ,USDJ,USDJ,tron_token,just-stablecoin,,1585872000
USDN,Neutrino Dollar,USDN,waves_token,neutrino,,1580515200
USNBT,NuBits,USNBT,own_chain,nubits,NBT,1411430400
UST,TerraClassicUSD,USTC,own_chain,terrausd,USTC,1599350400
UTC,UltraCoin,UTC,own_chain,,,1391212800
UTI,Unicorn Technology International,UTI,own_chain,,,1588291200
UTIL,Utility coin,UTIL,own_chain,,,1411689600
VBK,VeriBlock,VBK,own_chain,veriblock,,1554490449
VET,VeChain,VET,own_chain,vechain,,1533254400
VIA,Viacoin,VIA,own_chain,viacoin,,1405641600
VLX,Velas,VLX,own_chain,velas,VELAS,1570070048
VOOT,VootCoin,VOOT,own_chain,,,1401753600
VRC,VeriCoin,VRC,own_chain,vericoin,,1399680000
VRM,VeriumReserve,VRM,own_chain,veriumreserve,,1473984000
VTC,Vertcoin,VTC,own_chain,vertcoin,,1389139200
VTHO,VeChainThor,VTHO,vechain_token,vethor-token,,1533254400
WAN,Wanchain,WAN,own_chain,wanchain,,1503360000
WAVES,Waves,WAVES,own_chain,waves,,1460419200
WDC,WorldCoin,WDC,own_chain,worldcoin,,1368489600
WEB-2,Webchain,WEB,own_chain,,WEBC,1531047649
WICC,WaykiChain,WICC,own_chain,waykichain,,1514592000
WING,Wing Finance,WING,ontology_token,wing-finance,,1600214400
WOLF,Insanity Coin,WOLF,own_chain,,,1407974400
XAI,Sapience AIFX,XAI,own_chain,,,1416355200
XBC,Bitcoin Plus,XBC,own_chain,bitcoin-plus,,1396137600
XCN,Cryptonite,XCN,own_chain,cryptonite,,1388620800
XCP,Counterparty,XCP,own_chain,counterparty,,1392472776
XCR,Crypti,XCR,own_chain,,,1407369600
XDC,XinFin,XDC,own_chain,xdce-crowd-sale,,1585699200
XDN,DigitalNote,XDN,own_chain,digitalnote,,1401408000
XDP,Dogeparty,XDP,own_chain,,,1406160000
XEL,XEL,XEL,own_chain,elastic,,1496880000
XEM,NEM,XEM,own_chain,nem,,1402012800
XHV,Haven Protocol,XHV,own_chain,haven,,1519171200
